text,source_party,source_name,label,sentence_id,source,reliability,bias
"Bottom line As noted previously , and Foot Locker is a prime example, better-than-feared is sometimes all you need for a stock to rally in a market that has been focused on only a handful of mega-cap names for nearly a year.",Center,cnbc,1,c220c286-c60c-4083-aa65-24ccb5484544,cnbc,43.82,-1.81
It’s still fast enough to propel you to reach your next PB too.,Center,wired,1,4b589f13-e271-470a-8beb-9a8996ef4a44,wired,36.77,-7.24
"Indeed, leaders of both the U.S. and the Soviet government came to realize that avoiding a nuclear war of which their nation would be the first victim was a cardinal responsibility.",Center,foreign-affairs,0,85c1d0f3-7de9-457f-8252-c98e31ee23b8,foreign-affairs,44.56,-6.55
"Jia Miao Assistant professor of sociology, NYU Shanghai China stopped releasing youth unemployment figures since August, after a streak of record-high numbers.",Center,cnbc,0,3a03d8fc-cbc2-4f56-bff5-88001e078540,cnbc,43.82,-1.81
"Sponsored by the Saudi Arabian government, Rayyanah Barnawi, a stem cell researcher, became the first woman from the kingdom to go to space.",Center,christian-science-monitor,0,5473bd7c-5ca1-4b3e-95ac-21edd8ed1043,christian-science-monitor,44.22,-2.47
"A Jake Walman penalty late in the third period forced the Wings to kill a penalty, but Dylan Larkin's empty-net goal secured the win.",Center,detroit-news,0,3bfffd3d-1c32-4747-a448-10e1019cf7c6,detroit-news,45.92,-2.2
"This model comes with an 11th Gen Intel Core i7 chip, RTX 3060, 16-GB RAM, and 512-GB SSD storage.",Center,wired,0,638462c5-49fc-45fe-a67e-99fead17feea,wired,36.77,-7.24
"So when I'm watching Vampire Diaries in my house, how does it know exactly what to do without getting scrambled up?",Center,wired,0,ec251565-aa15-4a08-8f13-57ba99075eb5,wired,36.77,-7.24
"Plus, it has small front and rear fenders to keep you clean.",Center,cnet,0,2cfc14e9-e8df-4dc5-a07b-5856a2c685c7,cnet,40.02,-1.39
And he and his wife recently started developing recipes for their own ice cream brand.,Center,christian-science-monitor,0,66a0f738-0b94-4fed-9a78-9413a4034b69,christian-science-monitor,44.22,-2.47
"And when there’s a contest for food, water, or a female, males don’t fight like most other primates, but wait, avoid one another, or hug.",Center,christian-science-monitor,1,f1222339-16cb-404f-acad-3d02ebb50ded,christian-science-monitor,44.22,-2.47
"As a result, experienced nurses are more than qualified to fill them.",Center,quartz,0,7a7e42ac-6f35-4ded-8921-81613697d2cb,quartz,43.87,-4.77
"Sync Video to Paragraph But he - you know, it's - he dreams about things.",Center,cnbc,1,c36aab2b-3a52-4df7-9b10-08502ba81c18,cnbc,43.82,-1.81
Here are 10 names that Wolfe likes for their high dividend growth and free cash flow yields.,Center,cnbc,0,a768f8da-1a07-4346-a9cb-3e32e65f6ec2,cnbc,43.82,-1.81
"During the latest stock market correction, the Bond Vigilantes saddled up and were riding high.",Center,cnbc,1,75731b91-6c8e-4233-a30c-883b68c66f3b,cnbc,43.82,-1.81
"But the sheer addictiveness of e-cigarettes, because of their high nicotine levels, has called into question the safety of vaping -- especially among young people and teens who've never smoked cigarettes but use their pens at levels suggesting an active addiction.",Center,cnet,1,14f8cde3-d958-43ee-9052-cfaf9f472d93,cnet,40.02,-1.39
It’s a shameful reaction from someone who has claimed to support and trust all women.,Center,detroit-news,1,7bff462c-687e-4608-b48c-0cef415dd239,detroit-news,45.92,-2.2
This team is talented enough to not only sneak into the playoffs but perhaps pull off an upset.,Center,baltimore-sun,1,8a61c58a-17f6-4354-8998-ecec5c1ffbe4,baltimore-sun,44.41,-4.13
The Treasury is also looking to crack down on crypto shenanigans.,Center,fortune,0,3fce9eec-698b-4ef9-89c4-ec35887df11d,fortune,36.93,-2.44
Support for the side which seems to be losing will collapse.,Center,foreign-affairs,1,530feaf0-94e7-452b-8b40-9b4fefe9dbbd,foreign-affairs,44.56,-6.55
"Another possibility: Facebook, Twitter, YouTube, and other platforms could abandon moderation altogether and let the lowest common denominator prevail.",Center,christian-science-monitor,1,ba672002-02ad-4297-b3c6-d73424bce308,christian-science-monitor,44.22,-2.47
"Scientists working for Microsoft, Google, Amazon, Meta, OpenAI, and a handful of smaller startups are far ahead of any analogous effort in government.",Center,foreign-affairs,1,97552d60-d94e-459d-aa68-ebb400278fdb,foreign-affairs,44.56,-6.55
"But the proposal was categorically rejected by Andrei Gromyko, the Soviet representative to the UN.",Center,foreign-affairs,1,fe223607-f591-4451-bf3f-72b67c668898,foreign-affairs,44.56,-6.55
"On Nov. 17, pro-Palestinian protesters violently pushed their way into the University of Michigan’s Ruthven building, breeching security on their way to occupy the president’s office.",Center,detroit-news,1,70ba6260-bf26-4561-9062-00b23b57eb1f,detroit-news,45.92,-2.2
Sync Video to Paragraph And you just can't tell when lightening will strike.,Center,cnbc,0,e3e2170f-d9dc-4fb6-878d-8ede17653bc2,cnbc,43.82,-1.81
Instead we developed what some might call a cavalier attitude toward technology.,Center,christian-science-monitor,1,0b00dc2d-f350-4366-9e61-274e81385d32,christian-science-monitor,44.22,-2.47
"Apple Watches are often touted as the best smartwatches you can buy, but they aren't the only wearable option out there.",Center,cnet,1,62cc3dd6-7681-4a56-ace1-aef420c4bd97,cnet,40.02,-1.39
"This one is lovely - meticulously engineered, but lovely all the same.",Center,poynter,0,7850e08b-43e8-4764-9126-81355108e2d5,poynter,41.75,-7.32
"For all his faults, Archie loved his country and he loved his family, even when they called him out on his ignorance and bigotries.",Center,cnbc,1,34696e19-861f-4e79-86b1-16a3753ddadd,cnbc,43.82,-1.81
"But most of them did work very well, including a creme brulee oolong and pumpkin spice black tea.",Center,cnet,0,4102b309-7cb4-4842-8864-11372c75e741,cnet,40.02,-1.39
"Nonetheless, the White House is taking a victory lap for the lower year-over-year prices, eager to credit Biden's economic agenda, dubbed Bidenomics, for the good news as the president runs for reelection.",Center,cnbc,1,d009f924-6a34-4c19-a282-0541ee9e73bb,cnbc,43.82,-1.81
"If you really want to build your family office, you keep investing.",Center,cnbc,0,05f3db1b-1222-467c-ad48-01b45ad760cc,cnbc,43.82,-1.81
"She spent her days off struggling to cope, lying in bed, toggling between numbing TikTok videos of cute puppies and job openings her contract prevented her from pursuing.",Center,quartz,1,8de094d1-be70-4791-88d7-43ed9585123d,quartz,43.87,-4.77
"Maintaining this friendship might be very frustrating for you at times, but expressing your hatred of her boyfriend might actually cause her to defend her choices, nudge her toward him, and isolate her even more.",Center,baltimore-sun,1,47a2f9c6-4dd3-482d-a0f0-64539761c2e3,baltimore-sun,44.41,-4.13
"When its first custom chip came out 13 years ago, Apple was unusual as a non-chip company trying to make it in the cutthroat, cost-prohibitive semiconductor market.",Center,cnbc,0,ef3b8460-ce20-4115-8e1d-665ef93d638b,cnbc,43.82,-1.81
There is no need to keep chasing kids the Cougars have little chance of landing.,Center,deseret-news,1,12b04a25-63e5-4f0d-af31-b3532f46edd0,deseret-news,42.29,2.55
The NFL should stop its love affair with quarterbacks and present Miami Dolphins wide receiver Tyreek Hill with the Most Valuable Player Award.,Center,baltimore-sun,1,62906e25-6f10-4653-82fb-e71266d825e0,baltimore-sun,44.41,-4.13
"We're moving from a 0.5 revolution trick into the hop the world, which is one full revolution.",Center,wired,1,de612107-b0ef-4897-a775-2af60219a976,wired,36.77,-7.24
"Turduckens -- that's a turkey stuffed with a chicken, stuffed with a duck, stuffed with stuffing -- are here to save you from humdrum dry and bland turkey.",Center,cnet,0,422ebc7f-a44c-4ea7-a31f-8916a1461e63,cnet,40.02,-1.39
"It’s revealing to examine where relative prices in the Midwest and Sunbelt stood over a decade ago, and the factors leading to the current, giant gap between the two regions.",Center,fortune,0,0cec5709-fd44-4372-a29f-bf5cf6f0d4f9,fortune,36.93,-2.44
"When you have nothing to do but wait and distract yourself from the possibility that your friends have met a hail of anti-aircraft fire, you talk.",Center,military-times,1,6050d216-c1f7-4562-8766-8530837c7480,military-times,46.49,-0.19
"As the war in Gaza continues, these countries are using their own diplomatic pressure points to shape the conflict to their advantage and to achieve individual priorities.",Center,foreign-affairs,0,895aea92-e741-45dc-916c-d5d25c07ea07,foreign-affairs,44.56,-6.55
"For context, a combination sleeper is someone who rotates between sleeping positions during the night.",Center,cnet,0,f9a5bdd4-9d70-47e5-ad3a-cdec8ee41afc,cnet,40.02,-1.39
The move earned the trust of a creative workforce that dived into the challenge of remotely advising customers on how to outfit their homes for the work-from-home era.,Center,fortune,1,5a75e445-816e-4761-abfc-6cff4056c32a,fortune,36.93,-2.44
He still holds Super Bowl records for most rushing yards (354) and rushing attempts (101) in the game’s history.,Center,pittsburgh-postgazette,0,1f24580a-aa4e-4904-a586-66171a9d74ab,pittsburgh-postgazette,47.59,-0.45
"But on the other, he has also permitted logging in previously protected forests, purportedly to provide jobs for impoverished youths.",Center,christian-science-monitor,1,18493d96-f64a-4af3-a53d-3f1999aa96c5,christian-science-monitor,44.22,-2.47
And the parents were egging her on and encouraging her to do what she was doing.,Center,deseret-news,1,d672cefd-67ab-4b77-b52d-3b1a1cc210b1,deseret-news,42.29,2.55
They are in wide agreement that the Trump administration’s rejection of multilateralism and the concurrent political turbulence in the United States damaged the country’s image abroad.,Center,foreign-affairs,1,3a282dcc-5802-4649-9d8d-646f7ca8de52,foreign-affairs,44.56,-6.55
Hundreds of Pakistani women are murdered every year in so-called honor killings.,Center,christian-science-monitor,1,bc2cb0dd-f2ae-4072-8904-84566bf6f98b,christian-science-monitor,44.22,-2.47
"With the long-awaited sequel, Dawn of the Nugget, due to arrive on Netflix later in 2023, now is the perfect time to (re-)discover this gem.",Center,wired,1,145cb80a-d544-49e7-a74a-36fa2c3d1dba,wired,36.77,-7.24
"1A First Team Jake Batty, Wayne, P/3B/C, Sr. - 1.2 OPS, 38 Hits, 18 SB, 8-3 record, 2.42 ERA, 97 Ks.",Center,deseret-news,0,759dacf3-e74a-497e-97d9-bb7c0adee902,deseret-news,42.29,2.55
"By being in charge, they retain a dignity of their choosing.",Center,christian-science-monitor,1,d1e8a9cc-9367-4130-85c7-ddb9ca4ef1ef,christian-science-monitor,44.22,-2.47
"Every year, the Federal government threatens to come to a halt because of congressional bickering over the budget.",Center,baltimore-sun,0,d2bd42f7-68e9-4274-b406-38291ca99249,baltimore-sun,44.41,-4.13
"Nvidia , far and away, has dominated as one of the major winners as its graphics processing units underpin many large language models.",Center,cnbc,1,6240df04-b8ff-41fc-ad74-0969e299920e,cnbc,43.82,-1.81
"Boone Ashworth Disaster Survival ILLUSTRATION: RICARDO REY The landscape of 2053 looks like the landscape of today, just more beat up.",Center,wired,0,54343a95-5db4-4a79-8fc1-fd86f01642ac,wired,36.77,-7.24
"Unlike Mexico City's mass celebration, cities in Arizona, while devout, tend to scale it back.",Center,az-central,1,358adb37-4f9a-402f-b813-be4312c69ee0,az-central,42.22,-7.0
"Furthering negative views of immigration are the beliefs that immigrants commit more crimes than native-born residents and take jobs from them, experts say.",Center,christian-science-monitor,1,21ff7f74-ead6-40db-b187-c511293a77aa,christian-science-monitor,44.22,-2.47
"After we published the story behind the front page, many people shared their reaction and commented on the editorial decisions made by these student journalists.",Center,poynter,0,c4d561b9-f881-49a9-b7a2-49e3e28bc8a8,poynter,41.75,-7.32
"While auto companies will probably announce new incentives to encourage people to buy electric vehicles, one of the best incentives has been on the books for some time: the EV tax credit.",Center,cnet,0,287e35fb-ef2f-4af3-bbc2-4f81a727001e,cnet,40.02,-1.39
"Plus if you're approved for the card, you receive instant access and can add it to Apple Pay.",Center,cnbc,0,ab7b614e-614d-4200-9a0d-407687deba8b,cnbc,43.82,-1.81
"Looking ahead to next year, potential Fed interest rate cuts - and a lower U.S. dollar that may come with them - could boost gold even more.",Center,cnbc,0,a585a31c-4bfb-4fc9-877f-de0d210705bb,cnbc,43.82,-1.81
"This time-twisting thriller-adapted from the comic of the same name by writer Si Spencer and artists Tula Lotay, Meghan Hetrick, Dean Ormston, and Phil Winslade-hops from Victorian London to a dystopian future and back again, as the same corpse is found in the same spot in each era.",Center,wired,0,3118e439-f5c0-4f3d-ac3e-7f867d671961,wired,36.77,-7.24
"He is the king of the sudden change or impact play, and he can’t be stopped.",Center,baltimore-sun,1,4af52412-366e-49fd-a814-4f3e17a061b2,baltimore-sun,44.41,-4.13
The bag's transparency expedited the process of getting through security in a game where every second made a difference.,Center,cnbc,0,bcc35f34-8376-4f80-b326-74578ab88293,cnbc,43.82,-1.81
But one thing she knows-courtesy of an annoying talking AI-is that she has just over an hour before she runs out of oxygen.,Center,wired,0,1bf98663-df8e-4468-9bed-79245fe5cabf,wired,36.77,-7.24
Federal Reserve Governor Christopher Waller said Tuesday he's growing more confident that policy is in a place now to bring inflation back under control.,Center,cnbc,0,31bcf0ed-3d0a-4af7-bb26-e8a8133ad913,cnbc,43.82,-1.81
"This survey also finds a related pattern that has been consistent over the course of the survey: A solid share believe their personal marriage is doing fine, but that marriage overall is weaker.",Center,deseret-news,0,5ebea69c-acae-46f6-99b7-03e32cb83063,deseret-news,42.29,2.55
Credit and lending standards appear to be tightening beyond simply repricing.,Center,cnbc,0,82c7dd6b-3ff6-4c31-8c6e-35103d3ccbf0,cnbc,43.82,-1.81
"To take advantage of fan interest, fake websites for buying tickets or fake listings will pop up on secondary ticket sites to prey on the desperate customers.",Center,cnet,1,f062c172-b982-4f0a-9c6a-9a031ecf2047,cnet,40.02,-1.39
"Hasbro The entire Form 3 Plus ecosystem is made to give you the best experience start to finish, though the software needs to be updated.",Center,cnet,0,f95f525b-f59d-4d7b-9b3c-2d2484f40afe,cnet,40.02,-1.39
Border Patrol agents watch over them but many are left to brace the elements unsheltered for days.,Center,az-central,0,6a3e7839-1fe5-41c0-830e-d06847d21184,az-central,42.22,-7.0
He nearly missed his first opportunity for national public exposure when he ruptured his Achilles tendon the day before the inaugural debate in August in Milwaukee.,Center,cnbc,0,7ca293af-d881-452a-a6ee-fbba95bb03c8,cnbc,43.82,-1.81
"An automated interview platform could benefit candidates battling shyness or social anxiety, but it could also easily discriminate against neurodivergent folks or non-native English speakers.",Center,cnet,0,632c0a99-afe6-4b8b-ac00-fe1b86d3dedc,cnet,40.02,-1.39
But they are the only hope for breaking the intergenerational transmission of violence.,Center,foreign-affairs,1,074c617d-e1f1-44ed-969c-7711a7e7e8d6,foreign-affairs,44.56,-6.55
"If ever someone makes a movie about how not to fire a CEO, they could base their script on the playbook of OpenAI.",Center,christian-science-monitor,1,d7a7871d-b7e6-4258-9738-92844aca1230,christian-science-monitor,44.22,-2.47
"In short, Snopes editors are insanely ethical, non-partisan, insatiably curious wordsmiths who are not easily duped.",Center,poynter,1,89b629d2-3499-44ec-b6eb-e5d516b82a2c,poynter,41.75,-7.32
"But he’s convinced that will change as oil prices go back up again due to shortages of supply, linked to chronic underinvestment in development and ongoing OPEC+ production cuts.",Center,marketwatch,1,7fd52a99-85c4-4570-99d0-3a1565c0d6ab,marketwatch,40.93,-3.88
"But he’s always pushing the arrival dates, then doubles down by pushing them back again.",Center,fortune,0,edff6024-1e75-46b7-881b-4cdaad231354,fortune,36.93,-2.44
"Beijing’s recalibration of the initiative is in part a response to such concerns, experts say.",Center,christian-science-monitor,0,ea26a4b0-cf09-450f-956e-59dadfe651fd,christian-science-monitor,44.22,-2.47
Overpriced generators were another purchase that sparked outrage in a winter marked by darkness due to Russian attacks on energy facilities.,Center,christian-science-monitor,1,92aedc69-7515-4448-849d-7dc2a77cf630,christian-science-monitor,44.22,-2.47
"Participants earn a salary and benefits, get hands-on experience working in the field, and receive relevant classroom instruction, sometimes culminating in a degree.",Center,quartz,0,9f457a01-26ad-4e03-9a92-0e4abfaaf427,quartz,43.87,-4.77
"Across multiple cities, AT&T, Verizon, Earthlink and CenturyLink provided inferior broadband service to lower-income, Black and Latino neighborhoods.",Center,cnet,0,fd416863-3362-4ec1-8352-ea1b8f608d9c,cnet,40.02,-1.39
And so you can so quickly watch the system wring away that misshapen merger.,Center,wired,1,9dc9136f-076b-4e7f-b0b2-6c352a75f6d8,wired,36.77,-7.24
"It's because lawyers hate you, and they wanna make an example of you.",Center,wired,1,9ab99b27-e367-44ae-ad1f-6121029c4414,wired,36.77,-7.24
Even achieving the Paris targets would not be a free pass to avoid adaptation.,Center,foreign-affairs,0,1b49dc4f-4dd9-4543-8b9c-5de3ef831085,foreign-affairs,44.56,-6.55
"The trust, known better by its ticker GBTC , may be the easiest way for institutions to get exposure to crypto today, but that's likely to change in a big way once at ETF is approved, ARK Invest CEO Cathie Wood told CNBC Pro.",Center,cnbc,0,6d058f6b-aece-4eb7-a8c7-0eabb1338844,cnbc,43.82,-1.81
"The violence, which United Nations officials this week said had killed nearly 160 Palestinians, including 45 children, has prompted growing alarm not just in Washington but also among America’s allies in the Arab world, in Europe, and beyond.",Center,christian-science-monitor,1,fed8fed5-09ee-4150-ab15-548941976e59,christian-science-monitor,44.22,-2.47
It was long thought that all Marvel executives had to do to build a successful project was to throw money at it.,Center,christian-science-monitor,1,e7103132-0e3b-4275-b5dc-3fd6f58ebf04,christian-science-monitor,44.22,-2.47
"Romans have pictures and works of art and literary texts that talk about sexual desire, that talk about sex acts, that talk about their favorite positions.",Center,wired,0,39f23b82-a087-4725-8488-5aec58566390,wired,36.77,-7.24
Were the astronauts gonna sink up into their knees and not be able to actually walk anywhere at all?,Center,wired,1,9486c75a-1b46-40ee-b624-8aec82afd216,wired,36.77,-7.24
"Yet in spite or because of his experiences, he has such an extraordinary thirst and passion for life.",Center,christian-science-monitor,1,a342d89b-3c7f-4dab-813b-8b2094b67a08,christian-science-monitor,44.22,-2.47
"They come up with post hoc explanations for what they deem rational, highlighting their own bias.",Center,foreign-affairs,1,9479ab1b-994e-43f7-ac56-d328f164c712,foreign-affairs,44.56,-6.55
"The United States has not modeled a good policy approach to low-carbon economic growth, as meaningful climate legislation remains stalled in Congress.",Center,foreign-affairs,0,f82a39de-51a3-459d-b5de-d2164ec5d625,foreign-affairs,44.56,-6.55
The actual truth is their saliva is venom that is made to paralyze the animal.,Center,wired,1,5b681c20-5074-409e-97d9-d04a0061e7ae,wired,36.77,-7.24
"As the series progresses, the stakes get higher-and frankly, increasingly, gloriously ludicrous-as rival martial arts schools start cropping up all over California and alliances are forged and broken with alarming regularity.",Center,wired,0,455ee749-65d4-4605-8a65-993c2dfec67b,wired,36.77,-7.24
It's punchy and vibrant and easily does justice to whatever colorful YouTube or Netflix video you want to watch on the bus.,Center,cnet,0,8fceddd0-1f0c-44e7-b0be-17818e763b1b,cnet,40.02,-1.39
We highlighted on Tuesday how the stock market seems to be stalling out after a face-ripper rally in November.,Center,cnbc,1,8b27a032-2a7f-421c-a326-4aad76288ebd,cnbc,43.82,-1.81
"But as DeFelice continues to practice the budgeting methods that got her out of debt and allowed her to build wealth, the smaller numbers may be even more impressive.",Center,cnbc,0,50348189-821a-4312-a4c5-8b92b395c957,cnbc,43.82,-1.81
And no matter how they communicated that - whether it was with expletives or these really heart-wrenching messages to their loved ones - everyone communicated these same emotions of just frustration and fear.,Center,poynter,0,3222787a-dbc3-479c-8cbd-6a1004d9aff1,poynter,41.75,-7.32
Whoever governs Gaza after Israel ends its military operations in the Palestinian enclave will have to address what gave rise to Hamas and its extremist ideology.,Center,christian-science-monitor,1,4efb6b9d-8a4b-4e60-8aeb-358b6591c471,christian-science-monitor,44.22,-2.47
"The league’s busts for PED use (performance-enhancing drugs) are relatively rare, the penalties are laughably light, and the NFL has refused to use independent testers, which ought to tell you something.",Center,deseret-news,1,253673b4-ac3d-4ec3-9f59-3d40a1981339,deseret-news,42.29,2.55
Stirewalt is the former Fox News political editor who was infamously fired not long after the 2020 presidential election - one where he helped with Fox’s controversial decision to call the state of Arizona for Joe Biden.,Center,poynter,1,922d1473-443d-4f60-9802-8ebb5bc74dfb,poynter,41.75,-7.32
"Beyond shattering that glass ceiling, Justice O’Connor - who died Friday - left an indelible mark on American law and American society.",Center,christian-science-monitor,1,9f8b75c9-c2e7-429f-9374-ecdaab16e7f7,christian-science-monitor,44.22,-2.47
"Emery ran away with it in the first half, where it built a 27-11 halftime lead.",Center,deseret-news,0,4f0c0f2c-6bd4-4714-8e53-78f7999115d3,deseret-news,42.29,2.55
"Setup and migration from another password manager is simple, and you’ll use a secret key to encrypt your passwords, much like BitWarden’s setup process.",Center,wired,0,f79c20c7-7f0b-4953-994e-71a4a6a2017a,wired,36.77,-7.24
"Depends, you know, you're talking about the one and only Dr. Dre.",Center,wired,1,d090e8dd-e544-4a9e-99ca-8b11f94de946,wired,36.77,-7.24
"There will be lots of complaints about high valuations, and the cynics will be right: The S & P is approaching 19-times 2024 earnings.",Center,cnbc,1,32a6664d-e69b-45c1-a26a-f1bb6afefdf6,cnbc,43.82,-1.81
"Wells Fargo downgrades Lululemon Athletica (LULU) to equal weight from overweight, citing valuation, with an unchanged price target of $445 a share.",Center,cnbc,0,4f5870f6-03e0-4915-aa3b-66ea87472633,cnbc,43.82,-1.81
But we will also avoid the protracted forever wars that can tie down U.S. forces and that do little to actually reduce the threats to the United States.,Center,foreign-affairs,1,94a3ec79-88b4-42d1-9768-9f3583e82ee5,foreign-affairs,44.56,-6.55
Kudos to general manager Eric DeCosta for finding the right pieces and to these seasoned professionals for blending seamlessly.,Center,baltimore-sun,1,24c03063-dcd9-448f-a36d-2e7fc9d517e3,baltimore-sun,44.41,-4.13
"On Thursday, China and many Western countries struck a deal with Zambia to restructure $6.3 billion of the African country’s debt.",Center,christian-science-monitor,0,7f19b213-9acf-4b4f-9997-44b8aca4d0b2,christian-science-monitor,44.22,-2.47
Public trust in the courts only dipped below 60% once between 1972 and 2020.,Center,az-central,0,577c5b41-1d7e-44df-91d5-1998315677ea,az-central,42.22,-7.0
"Bruna Prado, AP Don't you dare try to pour cold water on our Detroit Lions fever dream.",Center,detroit-news,1,42e49903-c0f3-4ec5-82d4-ab2d0fe37f14,detroit-news,45.92,-2.2
Political leaders have failed to explain how the threats posed by these countries are interconnected.,Center,foreign-affairs,1,3478a2a3-aaeb-46b6-bb91-bf7c45d6d141,foreign-affairs,44.56,-6.55
"Additional asset classes to your portfolio include real estate, natural resources and dividend stocks Educational resources Offers free financial planning for college planning, retirement and homebuying Terms apply.",Center,cnbc,0,b3b41ac1-70e1-48c4-8647-852982180aa3,cnbc,43.82,-1.81
"Despite insisting that the country will turn away from coal, Chinese officials have wavered.",Center,foreign-affairs,1,aebac17c-c079-4f99-8830-305ae71c05e7,foreign-affairs,44.56,-6.55
"Salem Hills’ Chase DeGraffenried put up an exceptional performance, leading the game’s scoring with a spectacular 39 points, including three successful shots from beyond the arc.",Center,deseret-news,0,183f7a5a-dd61-4a43-a7eb-b102101bf55a,deseret-news,42.29,2.55
A package of ramen noodles desperately wants to be popular like spaghetti.,Center,christian-science-monitor,1,622f27f7-fc08-4021-b493-cbaad60a916e,christian-science-monitor,44.22,-2.47
The Summit Academy Bears triumphed over the Granger Lancers in an away game with a significantly lopsided score of 62-26.,Center,deseret-news,0,9b416c92-a284-416f-a43c-9ac588448297,deseret-news,42.29,2.55
"That type of thing has never happened before and, from an outside perspective, felt like a marketing hail mary, similar to how Warner Bros. put Superman in Black Adam commercials.",Center,quartz,1,9e9f744c-1785-4c83-8c2b-7d223c60807c,quartz,43.87,-4.77
"When that same industry, does everything possible to complicate the business so no one else can get in?",Center,wired,1,861f236c-4ce1-4935-aeeb-337b8cc9f0bf,wired,36.77,-7.24
"We constructed a sample of roughly 620,000 students from all 50 states who received Title IV aid and enrolled in a community college as their first postsecondary institution in 2014.6 We followed these students for 8 years across multiple institutions and observed whether they successfully transferred from their initial community college and whether they subsequently obtained degrees from predominantly bachelor’s-granting institutions to measure the performance of both sending and receiving institutions.7 We also examined the role that pairs of community colleges and four-year institutions - or dyads - play in transfer student outcomes.",Center,christian-science-monitor,0,df5908b7-b10b-4825-b363-9937f24d1e48,christian-science-monitor,44.22,-2.47
Failure to do so could result in a bill for civil damages.,Center,baltimore-sun,0,7f1caf4c-fd84-4f78-ae6a-babfcb4bfcb1,baltimore-sun,44.41,-4.13
